EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Time
70025	1	1	0	4	4	6	912	0.719032	
70314	1	1	469.411	4	2	5	912	0.723544	
70314	2	1	0	4	4	5	912	0.729734	
70345	1	1	0	4	4	6	912	0.72002	
70668	1	1	0	4	4	9	912	0.729924	
71198	1	1	0	4	4	1	912	0.724859	
71306	1	1	0	4	4	1	912	0.723728	
71315	1	1	0	4	4	1	912	0.724888	
71412	1	1	0	4	4	2	912	0.722538	
71515	1	1	0	4	4	1	912	0.72164	
71622	1	1	0	4	4	4	912	0.719671	
71958	1	1	161.953	4	2	6	912	0.72169	
71958	2	1	0	4	4	1	912	0.730612	
72550	1	1	299.213	4	2	2	912	0.725548	
72550	2	1	0	4	4	1	912	0.742559	
72610	1	1	662	4	1	1	912	0.724614	
73028	1	1	0	4	4	4	912	0.719773	
73057	1	1	0	4	4	10	912	0.734108	
73095	1	1	191.632	4	2	5	912	0.720852	
73095	2	1	0	4	4	7	912	0.741113	
73101	1	1	0	4	4	3	912	0.720198	
73194	1	1	0	4	4	9	912	0.720523	
73333	1	1	107.922	4	2	8	912	0.718752	
73333	2	1	265.492	4	2	7	912	0.73177	
73333	3	1	288.587	4	1	8	912	0.743905	
73457	1	1	0	4	4	5	912	0.724375	
73537	1	1	0	4	4	8	912	0.718296	
73670	1	1	77.5108	4	2	3	912	0.721167	
73670	2	1	0	4	4	4	912	0.736335	
74076	1	1	0	4	4	10	912	0.738229	
74256	1	1	0	4	3	8	912	0.720271	
74256	2	1	0	4	4	5	912	0.731044	
74563	1	1	135.001	4	2	9	912	0.718723	
74563	2	1	0	4	4	4	912	0.729465	
74621	1	1	82.7501	4	2	10	912	0.745864	
74621	2	1	0	4	4	10	912	0.74945	
74711	1	1	662	4	1	1	912	0.721933	
74802	1	1	0	4	4	4	912	0.72168	
74907	1	1	0	4	4	5	912	0.718567	
75473	1	1	0	4	4	8	912	0.725514	
75530	1	1	0	4	4	8	912	0.722928	
75746	1	1	0	4	4	1	912	0.72463	
75863	1	1	140.112	4	2	9	912	0.728358	
75863	2	1	0	4	4	9	912	0.74316	
75878	1	1	0	4	4	6	912	0.719212	
75985	1	1	0	4	4	5	912	0.718689	
76164	1	1	0	4	4	2	912	0.721971	
76277	1	1	0	4	4	2	912	0.723475	
76314	1	1	0	4	4	3	912	0.725392	
76547	1	1	19.7123	4	2	2	912	0.726778	
76547	2	1	0	4	4	1	912	0.728279	
77017	1	1	0	4	4	3	912	0.720669	
77245	1	1	662	4	1	6	912	0.720749	
77341	1	1	0	4	4	9	912	0.728779	
77476	1	1	80.3532	4	2	2	912	0.725	
