EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
177974	1	1	77.1415	0	2	7.88638	0	0	90	0.321962	
177974	2	1	0	0	4	7.42037	0	0	90	0.329093	
179208	1	1	453.286	0	2	6.15951	0	0	90	0.316948	
179208	2	1	0	0	4	10	0	0	90	0.329761	
179390	1	1	0	0	4	0	0	0	90	0.317429	
182381	1	1	253.471	0	1	9.45834	0	0	90	0.512864	
182440	1	1	0	0	4	7.10209	0	0	90	0.317527	
185051	1	1	0	0	4	0	0	0	90	0.317017	
185229	1	1	0	0	4	0	0	0	90	0.317162	
187481	1	1	434.007	0	2	9.69103	0	0	90	0.319047	
187481	2	1	0	0	4	10	0	0	90	0.32008	
189494	1	1	0	0	4	0	0	0	90	0.317207	
191084	1	1	0	0	4	7.39828	0	0	90	0.31746	
192058	1	1	0	0	4	0	0	0	90	0.317129	
192354	1	1	0	0	4	9.39779	0	0	90	0.317361	
193022	1	1	142.61	0	2	7.60383	0	0	90	0.316943	
193022	2	1	101.11	0	2	2.37235	0	0	90	0.324937	
193022	3	1	0	0	4	0	0	0	90	0.346856	
193348	1	1	72.1098	0	2	1.80044	0	0	90	0.668767	
193348	2	1	152.671	0	1	2.69871	0	0	90	0.683127	
194403	1	1	0	0	4	9.00802	0	0	90	0.317343	
194528	1	1	0	0	4	0	0	0	90	0.423128	
196923	1	1	0	0	4	0	0	0	90	0.317285	
198635	1	1	0	0	4	1.89847	0	0	90	0.317361	
198924	1	1	0	0	4	0	0	0	90	0.31701	
199372	1	1	195.353	0	1	1.12894	0	0	90	0.524206	
201283	1	1	0	0	4	0	0	0	90	0.317016	
202860	1	1	0	0	4	0	0	0	90	0.317066	
203545	1	1	0	0	4	0	0	0	90	0.316967	
204642	1	1	0	0	4	0	0	0	90	0.316982	
205360	1	1	0	0	4	0	0	0	90	0.316934	
205423	1	1	445.95	0	2	1.62923	0	0	90	0.317072	
205423	2	1	216.05	0	1	4.01123	0	0	90	0.34501	
206807	1	1	168.435	0	2	1.40892	0	0	90	0.317094	
206807	2	1	0	0	4	0	0	0	90	0.34577	
207075	1	1	0	0	4	0	0	0	90	0.317023	
207200	1	1	180.13	0	2	3.59655	0	0	90	0.317269	
207200	2	1	276.776	0	2	2.02459	0	0	90	0.338655	
207200	3	1	0	0	4	2.15126	0	0	90	0.346082	
208916	1	1	94.2607	0	2	9.71414	0	0	90	0.386478	
208916	2	1	0	0	4	7.71691	0	0	90	0.387545	
209241	1	1	0	0	4	0.205056	0	0	90	0.317291	
209501	1	1	458.191	0	2	8.75511	0	0	90	0.317209	
209501	2	1	0	0	4	9.94287	0	0	90	0.321365	
210925	1	1	0	0	4	0	0	0	90	0.316958	
211009	1	1	58.7979	0	2	6.74977	0	0	90	0.433505	
211009	2	1	139.261	0	1	6.77273	0	0	90	0.440067	
211044	1	1	79.6012	0	2	5.90078	0	0	90	0.401986	
211044	2	1	0	0	4	3.56678	0	0	90	0.419451	
211386	1	1	0	0	4	0	0	0	90	0.317462	
211936	1	1	212.163	0	1	5.11749	0	0	90	0.547888	
213156	1	1	375.605	0	2	8.37257	0	0	90	0.317281	
213156	2	1	74.32	0	2	8.35866	0	0	90	0.322716	
213156	3	1	7.09606	0	2	8.62413	0	0	90	0.324194	
213156	4	1	56.3029	0	2	7.48413	0	0	90	0.331751	
