EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
212178	1	1	185.708	0	2	3.13598	0	270	90	0.31702	
212178	2	1	0	0	4	10	0	270	90	0.317148	
212954	1	1	0	0	4	9.28218	0	270	90	0.31761	
213035	1	1	15.3788	0	2	5.32177	0	270	90	0.316994	
213035	2	1	0	0	4	5.37329	0	270	90	0.349423	
214646	1	1	477.435	0	2	1.10178	0	270	90	0.317573	
214646	2	1	0	0	4	1.08633	0	270	90	0.319434	
216581	1	1	0	0	4	1.26867	0	270	90	0.317479	
217300	1	1	0	0	4	8.37014	0	270	90	0.317513	
219878	1	1	0	0	4	1.68704	0	270	90	0.317097	
221202	1	1	294.586	0	2	8.79539	0	270	90	0.317178	
221202	2	1	198.297	0	2	6.75482	0	270	90	0.32534	
221202	3	1	169.117	0	1	3.61742	0	270	90	0.341493	
223020	1	1	0	0	4	0.664882	0	270	90	0.317289	
226503	1	1	316.687	0	2	8.07474	0	270	90	0.317235	
226503	2	1	0	0	4	10	0	270	90	0.344562	
227102	1	1	0	0	4	5.07466	0	270	90	0.373007	
227581	1	1	0	0	4	5.37575	0	270	90	0.317149	
234627	1	1	293.801	0	1	4.55037	0	270	90	0.440932	
234690	1	1	0	0	4	8.99899	0	270	90	0.317206	
238039	1	1	0	0	4	1.98847	0	270	90	0.317087	
239513	1	1	0	0	4	4.50417	0	270	90	0.316971	
239936	1	1	0	0	4	8.27728	0	270	90	0.317045	
241157	1	1	126.026	0	2	0.528053	0	270	90	0.317436	
241157	2	1	0	0	4	0.0403544	0	270	90	0.333613	
241375	1	1	0	0	4	9.88192	0	270	90	0.317299	
241439	1	1	0	0	3	3.27705	0	270	90	0.320554	
241439	2	1	0	0	4	1.84678	0	270	90	0.33188	
241656	1	1	191.578	0	1	8.3757	0	270	90	0.889479	
242686	1	1	0	0	4	8.60703	0	270	90	0.39041	
243309	1	1	137.828	0	2	9.16815	0	270	90	0.350167	
243309	2	1	0	0	4	8.89397	0	270	90	0.37915	
243515	1	1	0	0	4	10	0	270	90	0.466958	
246867	1	1	472.741	0	2	1.01321	0	270	90	0.317176	
246867	2	1	43.2095	0	2	0.215178	0	270	90	0.335981	
246867	3	1	146.05	0	1	0.249004	0	270	90	0.345855	
247705	1	1	174.428	0	1	2.90944	0	270	90	2.29754	
248242	1	1	0	0	4	10	0	270	90	0.479197	
249026	1	1	0	0	4	2.30826	0	270	90	0.434195	
249351	1	1	0	0	4	3.56645	0	270	90	0.316929	
250822	1	1	143.958	0	2	7.01783	0	270	90	0.317246	
250822	2	1	0	0	4	6.31736	0	270	90	0.322058	
253273	1	1	0	0	4	2.8309	0	270	90	0.317084	
254143	1	1	662	0	1	5.99248	0	270	90	0.316933	
255731	1	1	0	0	4	6.37135	0	270	90	0.316914	
256550	1	1	0	0	4	6.1785	0	270	90	1.66821	
256805	1	1	0	0	4	0.701738	0	270	90	0.317443	
257817	1	1	0	0	4	6.48802	0	270	90	0.316968	
257945	1	1	0	0	4	0.0708518	0	270	90	0.317239	
258572	1	1	0	0	4	0.25981	0	270	90	0.317493	
259179	1	1	0	0	4	4.76427	0	270	90	0.316888	
261363	1	1	0	0	4	6.60846	0	270	90	0.317224	
261749	1	1	0	0	4	6.35479	0	270	90	0.316954	
262237	1	1	0	0	4	2.26101	0	270	90	0.317039	
262818	1	1	0	0	4	0	0	270	90	1.15644	
265201	1	1	0	0	4	4.60739	0	270	90	0.31721	
268283	1	1	0	0	4	10	0	270	90	0.31758	
269639	1	1	82.8656	0	2	9.18923	0	270	90	0.317231	
269639	2	1	0	0	4	5.92955	0	270	90	0.321481	
269675	1	1	164.098	0	1	5.94539	0	270	90	0.863332	
271002	1	1	167.177	0	2	3.64537	0	270	90	0.317195	
271002	2	1	0	0	4	0	0	270	90	0.321213	
272617	1	1	0	0	4	7.92234	0	270	90	0.317284	
273402	1	1	0	0	4	4.29432	0	270	90	0.317108	
273735	1	1	0	0	4	8.27929	0	270	90	0.415661	
274995	1	1	0	0	4	1.33962	0	270	90	0.317129	
275454	1	1	266.738	0	2	9.66949	0	270	90	0.317218	
275454	2	1	0	0	4	10	0	270	90	0.341745	
275963	1	1	61.9376	0	2	0.505766	0	270	90	0.338953	
275963	2	1	0	0	4	0	0	270	90	0.342329	
276931	1	1	0	0	4	3.20104	0	270	90	0.380541	
276938	1	1	0	0	4	2.45902	0	270	90	0.317329	
277177	1	1	131.346	0	2	2.00971	0	270	90	0.317092	
277177	2	1	313.065	0	2	2.01024	0	270	90	0.332263	
277177	3	1	22.7804	0	2	0.969238	0	270	90	0.352671	
277177	4	1	0	0	4	0	0	270	90	0.356855	
278423	1	1	145.739	0	2	0.696026	0	270	90	0.317535	
278423	2	1	0	0	4	0.731157	0	270	90	0.341509	
278813	1	1	4.85128	0	2	1.42322	0	270	90	0.326522	
278813	2	1	0	0	4	1.16596	0	270	90	0.357323	
279085	1	1	0	0	4	2.13876	0	270	90	0.317056	
279295	1	1	0	0	4	0	0	270	90	0.317484	
279605	1	1	130.877	0	2	3.70635	0	270	90	0.317213	
279605	2	1	113.778	0	2	6.12802	0	270	90	0.329768	
279605	3	1	0	0	4	6.01569	0	270	90	0.353654	
279795	1	1	309.477	0	2	9.34462	0	270	90	0.317171	
279795	2	1	0	0	4	4.31121	0	270	90	0.342976	
279798	1	1	0	0	4	0.570203	0	270	90	0.317546	
279954	1	1	0	0	4	8.94208	0	270	90	0.350595	
281000	1	1	7.95238	0	2	0.159193	0	270	90	0.317299	
281000	2	1	147.579	0	2	0.135995	0	270	90	0.317646	
281000	3	1	0	0	4	4.55097	0	270	90	0.318269	
283554	1	1	81.0842	0	2	2.8038	0	270	90	0.317005	
283554	2	1	0	0	4	1.99563	0	270	90	0.340169	
284301	1	1	0	0	4	0.042232	0	270	90	0.317486	
284885	1	1	0	0	4	7.72013	0	270	90	0.317001	
286578	1	1	0	0	4	4.37188	0	270	90	0.317272	
287296	1	1	0	0	4	6.37657	0	270	90	0.317153	
287319	1	1	0	0	4	2.54995	0	270	90	0.346239	
287756	1	1	0	0	4	1.95288	0	270	90	0.317143	
288227	1	1	0	0	4	4.4312	0	270	90	0.317005	
289141	1	1	0	0	4	1.82509	0	270	90	0.317188	
289405	1	1	0	0	4	8.88941	0	270	90	0.378838	
290548	1	1	0	0	4	2.96502	0	270	90	0.357557	
290679	1	1	0	0	4	5.10183	0	270	90	0.316957	
291402	1	1	0	0	4	4.4931	0	270	90	0.316892	
292139	1	1	0	0	4	1.15593	0	270	90	0.317568	
292544	1	1	0	0	4	0.729143	0	270	90	0.317199	
293792	1	1	0	0	4	6.01777	0	270	90	0.316944	
294462	1	1	0	0	4	2.75813	0	270	90	0.31731	
294862	1	1	0	0	4	0	0	270	90	0.337122	
295738	1	1	0	0	4	2.48362	0	270	90	0.317051	
295904	1	1	0	0	4	10	0	270	90	0.317596	
296897	1	1	0	0	4	5.67612	0	270	90	0.397196	
297408	1	1	0	0	4	1.94856	0	270	90	0.317332	
297674	1	1	0	0	4	9.5271	0	270	90	0.317185	
298610	1	1	0	0	4	6.85644	0	270	90	0.317323	
298897	1	1	0	0	3	0.556569	0	270	90	0.317234	
298897	2	1	0	0	4	0	0	270	90	0.321317	
301447	1	1	0	0	4	1.81203	0	270	90	0.405178	
301646	1	1	0	0	4	1.26664	0	270	90	0.317402	
301944	1	1	98.6845	0	2	0.473125	0	270	90	0.317472	
301944	2	1	0	0	4	0.691802	0	270	90	0.324155	
308823	1	1	2.38907	0	2	8.16773	0	270	90	0.37789	
308823	2	1	0	0	4	10	0	270	90	0.3932	
308889	1	1	0	0	4	3.95321	0	270	90	0.316902	
310040	1	1	354.605	0	2	5.52378	0	270	90	0.316952	
310040	2	1	148.698	0	2	9.47535	0	270	90	0.323937	
310040	3	1	158.697	0	1	8.68091	0	270	90	0.338478	
310186	1	1	257.557	0	2	0.934533	0	270	90	0.317191	
310186	2	1	0	0	4	0	0	270	90	0.335551	
310586	1	1	209.373	0	2	4.01763	0	270	90	0.316933	
310586	2	1	0	0	4	0.315135	0	270	90	0.338031	
311081	1	1	0	0	4	2.13497	0	270	90	0.317079	
311531	1	1	0	0	4	7.01807	0	270	90	0.317113	
312225	1	1	0	0	4	10	0	270	90	0.411831	
312306	1	1	129.706	0	2	5.68459	0	270	90	0.317274	
312306	2	1	0	0	4	5.64293	0	270	90	0.330994	
313485	1	1	0	0	4	8.51795	0	270	90	0.31724	
313510	1	1	0	0	4	7.32261	0	270	90	0.324714	
315740	1	1	0	0	4	10	0	270	90	0.467433	
317478	1	1	0	0	4	9.25006	0	270	90	0.317561	
318327	1	1	260.792	0	2	4.42277	0	270	90	0.31698	
318327	2	1	0	0	4	6.54689	0	270	90	0.333045	
320531	1	1	0	0	4	1.31632	0	270	90	0.3173	
321124	1	1	68.6201	0	2	3.91748	0	270	90	0.316907	
321124	2	1	0	0	4	1.98453	0	270	90	0.33382	
323507	1	1	0	0	4	2.67242	0	270	90	0.317232	
324096	1	1	0	0	4	1.08554	0	270	90	0.33965	
325855	1	1	0	0	4	10	0	270	90	0.317313	
328244	1	1	0	0	4	2.71054	0	270	90	0.317208	
330495	1	1	0	0	4	5.97216	0	270	90	0.32398	
331340	1	1	39.2661	0	2	1.7599	0	270	90	0.408199	
331340	2	1	0	0	4	0	0	270	90	0.430491	
333270	1	1	0	0	4	2.13619	0	270	90	0.317037	
333908	1	1	0	0	4	5.86771	0	270	90	0.40324	
335188	1	1	0	0	4	5.47074	0	270	90	0.316977	
337015	1	1	0	0	4	5.54943	0	270	90	0.317105	
