EvtN	HitN	TrackID	Energy	DetID	Process	DOI	HP	Phi	Theta	Time
2280	1	1	165.663	0	2	1	0	0	90	0.317171	
2280	2	1	0	0	4	10	0	0	90	0.344307	
2332	1	1	0	0	4	1	0	0	90	0.317298	
2335	1	1	0	0	4	1	0	0	90	0.317331	
2348	1	1	0	0	4	10	0	0	90	0.317003	
2348	2	1	0	0	4	1	0	0	90	0.375873	
2383	1	1	0	0	4	10	0	0	90	0.317627	
2388	1	1	0	0	4	1	0	0	90	0.317142	
2405	1	1	232.037	0	2	10	0	0	90	0.316926	
2405	2	1	0	0	4	1	0	0	90	0.318356	
2408	1	1	0	0	4	10	0	0	90	0.317137	
2410	1	1	130.867	0	2	1	0	0	90	0.317514	
2410	2	1	338.892	0	2	10	0	0	90	0.318491	
2410	3	1	192.241	0	1	1	0	0	90	0.328796	
2417	1	1	0	0	4	1	0	0	90	0.317124	
2441	1	1	0	0	4	1	0	0	90	0.31726	
2442	1	1	0	0	4	1	0	0	90	0.316919	
2445	1	1	0	0	4	1	0	0	90	0.316932	
2450	1	1	0	0	4	1	0	0	90	0.317125	
2452	1	1	0	0	4	1	0	0	90	0.317512	
2473	1	1	0	0	4	1	0	0	90	0.316916	
2488	1	1	0	0	4	1	0	0	90	0.317328	
2490	1	1	65.2813	0	2	10	0	0	90	0.316888	
2490	2	1	0	0	4	10	0	0	90	0.317823	
2514	1	1	472.129	0	2	10	0	0	90	0.317308	
2514	2	1	0	0	4	10	0	0	90	0.319413	
2546	1	1	163.317	0	2	10	0	0	90	0.317312	
2546	2	1	0	0	4	1	0	0	90	0.319754	
2550	1	1	0	0	4	1	0	0	90	0.317073	
2555	1	1	0	0	4	10	0	0	90	0.317319	
2560	1	1	310.784	0	2	1	0	0	90	0.317175	
2560	2	1	0	0	4	10	0	0	90	0.33664	
2570	1	1	0	0	4	1	0	0	90	0.317072	
2608	1	1	0	0	4	10	0	0	90	0.317414	
2630	1	1	0	0	4	1	0	0	90	0.316886	
2665	1	1	256.92	0	2	10	0	0	90	0.31692	
2665	2	1	0	0	4	1	0	0	90	0.346786	
2669	1	1	0	0	4	1	0	0	90	0.317304	
2686	1	1	0	0	4	1	0	0	90	0.317389	
2689	1	1	0	0	4	1	0	0	90	0.317044	
2692	1	1	0	0	4	1	0	0	90	0.317213	
2694	1	1	0	0	4	1	0	0	90	0.317159	
2718	1	1	0	0	4	1	0	0	90	0.316991	
2725	1	1	0	0	4	10	0	0	90	0.317561	
2733	1	1	0	0	4	1	0	0	90	0.317394	
2747	1	1	74.4125	0	2	10	0	0	90	0.317443	
2747	2	1	0	0	4	1	0	0	90	0.321142	
2769	1	1	0	0	4	10	0	0	90	0.317458	
2811	1	1	0	0	4	1	0	0	90	0.317072	
2821	1	1	0	0	4	10	0	0	90	0.317187	
2830	1	1	662	0	1	10	0	0	90	0.317296	
2832	1	1	0	0	4	10	0	0	90	0.317242	
2871	1	1	397.09	0	2	10	0	0	90	0.317146	
2871	2	1	49.113	0	2	10	0	0	90	0.334127	
2871	3	1	0	0	4	1	0	0	90	0.361969	
2879	1	1	167.109	0	2	10	0	0	90	0.317029	
2879	2	1	0	0	4	1	0	0	90	0.320696	
2895	1	1	0	0	4	1	0	0	90	0.317149	
2897	1	1	0	0	3	10	0	0	90	0.316913	
2897	2	1	0	0	4	1	0	0	90	0.33802	
2904	1	1	0	0	4	10	0	0	90	0.317544	
2923	1	1	34.8254	0	2	10	0	0	90	0.338281	
2923	2	1	93.1372	0	2	1	0	0	90	0.352657	
2923	3	1	0	0	4	10	0	0	90	0.356865	
2928	1	1	662	0	1	10	0	0	90	0.31734	
2942	1	1	0	0	4	1	0	0	90	0.317025	
2949	1	1	0	0	4	1	0	0	90	0.317452	
2958	1	1	662	0	1	1	0	0	90	0.317162	
2963	1	1	77.5256	0	2	10	0	0	90	0.317085	
2963	2	1	0	0	4	10	0	0	90	0.321505	
2966	1	1	180.632	0	2	10	0	0	90	0.317604	
2966	2	1	0	0	4	10	0	0	90	0.319318	
3002	1	1	0	0	4	10	0	0	90	0.317093	
3005	1	1	374.49	0	2	10	0	0	90	0.31696	
3005	2	1	0	0	4	10	0	0	90	0.317355	
3014	1	1	202.248	0	2	1	0	0	90	0.316952	
3014	2	1	0	0	4	10	0	0	90	0.34556	
3018	1	1	0	0	4	10	0	0	90	0.317288	
3045	1	1	0	0	4	1	0	0	90	0.317568	
3055	1	1	0	0	4	1	0	0	90	0.317195	
3060	1	1	0	0	4	10	0	0	90	0.317079	
3062	1	1	662	0	1	1	0	0	90	0.317062	
3076	1	1	0	0	4	10	0	0	90	0.317218	
3100	1	1	199.502	0	1	10	0	0	90	0.431968	
3117	1	1	0	0	4	1	0	0	90	0.317249	
3146	1	1	300.068	0	2	1	0	0	90	0.316975	
3146	2	1	0	0	4	10	0	0	90	0.332961	
3174	1	1	0	0	4	10	0	0	90	0.317328	
3182	1	1	306.253	0	2	10	0	0	90	0.317216	
3182	2	1	0	0	4	10	0	0	90	0.336109	
3196	1	1	0	0	4	1	0	0	90	0.317392	
3198	1	1	0	0	4	10	0	0	90	0.316925	
3202	1	1	106.983	0	2	10	0	0	90	0.317001	
3202	2	1	0	0	4	10	0	0	90	0.320407	
3213	1	1	0	0	4	1	0	0	90	0.331992	
3221	1	1	0	0	4	1	0	0	90	0.317024	
3223	1	1	0	0	4	1	0	0	90	0.317504	
3229	1	1	0	0	4	1	0	0	90	0.317291	
3248	1	1	0	0	4	1	0	0	90	0.317398	
3256	1	1	443.803	0	2	10	0	0	90	0.316974	
3256	2	1	0	0	4	10	0	0	90	0.317375	
3258	1	1	0	0	4	10	0	0	90	0.31691	
3284	1	1	0	0	4	1	0	0	90	0.317162	
3289	1	1	137.696	0	2	10	0	0	90	0.317275	
3289	2	1	65.3699	0	2	10	0	0	90	0.319567	
3289	3	1	0	0	4	10	0	0	90	0.328244	
3290	1	1	0	0	4	1	0	0	90	0.316943	
3302	1	1	0	0	4	1	0	0	90	0.317011	
3306	1	1	0	0	4	1	0	0	90	0.317187	
3308	1	1	0	0	4	1	0	0	90	0.317095	
3315	1	1	0	0	4	1	0	0	90	0.31723	
3323	1	1	0	0	4	1	0	0	90	0.316942	
3354	1	1	0	0	4	1	0	0	90	0.317012	
3378	1	1	0	0	4	10	0	0	90	0.317277	
3395	1	1	0	0	4	1	0	0	90	0.316908	
3396	1	1	0	0	4	1	0	0	90	0.316892	
3400	1	1	0	0	4	1	0	0	90	0.317061	
3403	1	1	0	0	4	1	0	0	90	0.31691	
3411	1	1	319.174	0	2	1	0	0	90	0.317672	
3411	2	1	0	0	4	1	0	0	90	0.329182	
3424	1	1	0	0	4	1	0	0	90	0.31692	
3479	1	1	0	0	3	10	0	0	90	0.350198	
3479	2	1	0	0	3	1	0	0	90	0.351811	
3479	3	1	0	0	4	10	0	0	90	0.356543	
3492	1	1	0	0	4	1	0	0	90	0.317317	
3494	1	1	0	0	4	1	0	0	90	0.317135	
3503	1	1	0	0	4	1	0	0	90	0.316905	
3593	1	1	0	0	4	1	0	0	90	0.317255	
3632	1	1	378.052	0	2	10	0	0	90	0.317304	
3632	2	1	0	0	4	10	0	0	90	0.322633	
3638	1	1	0	0	4	10	0	0	90	0.316959	
3646	1	1	0	0	4	1	0	0	90	0.316953	
3648	1	1	0	0	4	1	0	0	90	0.317347	
3653	1	1	662	0	1	10	0	0	90	0.317374	
3657	1	1	315.679	0	2	10	0	0	90	0.317129	
3657	2	1	136.913	0	2	10	0	0	90	0.318956	
3657	3	1	209.408	0	1	1	0	0	90	0.333259	
3660	1	1	0	0	4	1	0	0	90	0.317193	
3668	1	1	0	0	4	1	0	0	90	0.317297	
3671	1	1	5.95181	0	2	1	0	0	90	0.317325	
3671	2	1	0	0	4	1	0	0	90	0.319472	
3680	1	1	0	0	4	1	0	0	90	0.316908	
3687	1	1	0	0	4	10	0	0	90	0.317292	
3698	1	1	371.368	0	2	10	0	0	90	0.316975	
3698	2	1	13.4741	0	2	10	0	0	90	0.336647	
3698	3	1	0	0	4	1	0	0	90	0.34365	
3715	1	1	0	0	4	1	0	0	90	0.317076	
3716	1	1	284.604	0	2	10	0	0	90	0.317447	
3716	2	1	0	0	4	10	0	0	90	0.323235	
3725	1	1	178.699	0	2	10	0	0	90	0.317226	
3725	2	1	36.5438	0	2	10	0	0	90	0.319343	
3725	3	1	0	0	4	1	0	0	90	0.338475	
3727	1	1	150.354	0	2	10	0	0	90	0.317051	
3727	2	1	0	0	4	10	0	0	90	0.34284	
3734	1	1	0	0	4	1	0	0	90	0.317018	
3735	1	1	76.6016	0	2	10	0	0	90	0.317316	
3735	2	1	0	0	4	1	0	0	90	0.323948	
3749	1	1	0	0	4	1	0	0	90	0.317138	
3758	1	1	245.805	0	2	10	0	0	90	0.317388	
3758	2	1	0	0	4	10	0	0	90	0.343113	
3830	1	1	0	0	4	10	0	0	90	0.316946	
3838	1	1	87.7392	0	2	10	0	0	90	0.316904	
3838	2	1	0	0	4	1	0	0	90	0.345417	
3868	1	1	0	0	4	1	0	0	90	0.317259	
3873	1	1	0	0	4	10	0	0	90	0.317324	
3908	1	1	0	0	4	1	0	0	90	0.317199	
3914	1	1	0	0	4	1	0	0	90	0.31712	
3919	1	1	662	0	1	10	0	0	90	0.316943	
3922	1	1	374.693	0	2	10	0	0	90	0.317357	
3922	2	1	287.307	0	1	10	0	0	90	0.335175	
3929	1	1	0	0	4	10	0	0	90	0.316926	
3935	1	1	0	0	4	10	0	0	90	0.316974	
3937	1	1	234.825	0	2	1	0	0	90	0.317221	
